,Country,Happiness Score_2015,Happiness Score_2016,Happiness Score_2017,Happiness Score_2018,Happiness Score_2019,Avg Happiness,ContinentName,City,CapitalLatitude,CapitalLongitude,Temp,Cloudiness,Wind Speed,Humidity
82,Latvia,5.098,5.56,5.849999904632571,5.933,5.94,5.676199980926514,,,,,,,,
83,Philippines,5.073,5.279,5.42999982833862,5.524,5.631,5.387399965667724,Asia,Manila,14.6,120.96666699999999,78.48,75.0,10.36,61.0
84,Morocco,5.013,5.151,5.2350001335144,5.254,5.207999999999998,5.172200026702879,Africa,Rabat,34.016666666666666,-6.816667,51.33,40.0,8.05,100.0
85,Albania,4.959,4.655,4.64400005340576,4.586,4.7189999999999985,4.712600010681152,Europe,Tirana,41.31666666666667,19.816667000000002,37.4,20.0,4.61,93.0
86,Bosnia and Herzegovina,4.949,5.1629999999999985,5.18200016021729,5.129,5.386,5.161800032043457,Europe,Sarajevo,43.86666666666667,18.416667,39.09,90.0,1.14,100.0
87,Dominican Republic,4.885,5.155,5.230000019073491,5.3020000000000005,5.425,5.199400003814699,North America,Santo Domingo,18.466666666666665,-69.9,76.17,40.0,4.61,83.0
88,Mongolia,4.874,4.907,4.95499992370605,5.125,5.285,5.02919998474121,Asia,Ulaanbaatar,47.91666666666666,106.91666699999999,21.2,75.0,2.24,79.0
89,Greece,4.857,5.033,5.227000236511231,5.358,5.287000000000001,5.1524000473022475,Europe,Athens,37.98333333333333,23.733333,45.0,20.0,2.71,75.0
90,Lebanon,4.839,5.129,5.22499990463257,5.358,5.197,5.149599980926514,Asia,Beirut,33.86666666666667,35.5,36.0,76.0,5.23,94.0
91,Hungary,4.8,5.145,5.32399988174438,5.62,5.757999999999999,5.329399976348876,Europe,Budapest,47.5,19.083333,37.02,90.0,2.3,100.0
92,Honduras,4.788,4.871,5.1810002326965305,5.504,5.86,5.240800046539307,Central America,Tegucigalpa,14.1,-87.216667,73.4,75.0,16.11,60.0
93,Tajikistan,4.7860000000000005,4.996,5.04099988937378,5.199,5.4670000000000005,5.097799977874756,Asia,Dushanbe,38.55,68.766667,41.0,75.0,0.63,87.0
94,Tunisia,4.739,5.045,4.80499982833862,4.592,4.461,4.728399965667723,,,,,,,,
95,Palestinian Territories,4.715,4.754,4.77500009536743,4.743,4.6960000000000015,4.736600019073486,,,,,,,,
96,Bangladesh,4.694,4.643,4.60799980163574,4.5,4.456,4.580199960327149,Asia,Dhaka,23.716666666666665,90.4,69.8,75.0,5.75,78.0
97,Iran,4.686,4.813,4.69199991226196,4.707,4.548,4.689199982452392,Asia,Tehran,35.7,51.416667,35.83,0.0,4.61,35.0
98,Ukraine,4.681,4.324,4.09600019454956,4.103,4.332,4.3072000389099125,Europe,Kyiv,50.43333333333333,30.516666999999998,10.02,0.0,8.95,79.0
99,Iraq,4.677,4.575,4.49700021743774,4.456,4.437,4.528400043487547,Asia,Baghdad,33.333333333333336,44.4,46.4,0.0,6.91,57.0
100,South Africa,4.642,4.459,4.8289999961853,4.724,4.722,4.675199999237059,Africa,Pretoria,-25.7,28.216666999999998,64.31,0.0,2.3,68.0
101,Ghana,4.633,4.276,4.11999988555908,4.657,4.996,4.536399977111817,Africa,Accra,5.55,-0.216667,82.4,0.0,8.05,83.0
102,Zimbabwe,4.61,4.1930000000000005,3.875,3.692,3.663,4.0066000000000015,Africa,Harare,-17.816666666666666,31.033333000000002,63.0,100.0,11.01,88.0
103,Liberia,4.5710000000000015,3.622,3.532999992370609,3.495,3.975,3.8391999984741223,Africa,Monrovia,6.3,-10.8,78.64,10.0,4.32,84.0
104,India,4.565,4.404,4.31500005722046,4.19,4.015,4.2978000114440915,Asia,New Delhi,28.6,77.2,55.4,90.0,4.61,94.0
